id,nama_wisata,kategori,kota,alamat,deskripsi,gambar,fitur,fitur_bersih
34,Watu Gong,Situs,Jember,"Jl. Airlangga No.17, Gudang Rejo, Rambipuji, Kec. Rambipuji, Kabupaten Jember, Jawa Timur 68152",Watu Gong adalah situs batu khas di Rambipuji yang mungkin memiliki bentuk atau legenda lokal unik sering dikaitkan dengan budaya lokal atau cerita rakyat. Daya tariknya terletak pada batu besar dan cerita di baliknya.,assets/images/34.png,"Watu Gong Situs Situs Jember Jl. Airlangga No.17, Gudang Rejo, Rambipuji, Kec. Rambipuji, Kabupaten Jember, Jawa Timur 68152 Watu Gong adalah situs batu khas di Rambipuji yang mungkin memiliki bentuk atau legenda lokal unik sering dikaitkan dengan budaya lokal atau cerita rakyat. Daya tariknya terletak pada batu besar dan cerita di baliknya.",watu gong situs situs jember jl airlangga no gudang rejo rambipuji kec rambipuji kabupaten jember jawa timur watu gong situs batu khas rambipuji mungkin memiliki bentuk legenda lokal unik sering dikaitkan budaya lokal cerita rakyat daya tariknya terletak pada batu besar cerita baliknya
35,Candi Deres,Situs,Jember,"Krajan, Purwoasri, Kec. Gumukmas, Kabupaten Jember, Jawa Timur 68165","Candi Deres adalah situs candi atau reruntuhan kuno di Gumukmas, Jember. Tempat ini menawarkan nuansa sejarah, arsitektur kuno, dan kesempatan eksplorasi situs peninggalan masa lampau.",assets/images/35.png,"Candi Deres Situs Situs Jember Krajan, Purwoasri, Kec. Gumukmas, Kabupaten Jember, Jawa Timur 68165 Candi Deres adalah situs candi atau reruntuhan kuno di Gumukmas, Jember. Tempat ini menawarkan nuansa sejarah, arsitektur kuno, dan kesempatan eksplorasi situs peninggalan masa lampau.",candi deres situs situs jember krajan purwoasri kec gumukmas kabupaten jember jawa timur candi deres situs candi reruntuhan kuno gumukmas jember tempat menawarkan nuansa sejarah arsitektur kuno kesempatan eksplorasi situs peninggalan masa lampau
36,Air Terjun Anugerah,Air Terjun,Jember,"Gendir, Klungkung, Kec. Sukorambi, Kabupaten Jember, Jawa Timur 68151","Air Terjun Anugerah adalah air terjun tersembunyi di Sukorambi yang menawarkan keindahan alam, trek alam, dan suasana damai. Pengunjung bisa merasakan alam yang masih asri dan segar.",assets/images/36.png,"Air Terjun Anugerah Air Terjun Air Terjun Jember Gendir, Klungkung, Kec. Sukorambi, Kabupaten Jember, Jawa Timur 68151 Air Terjun Anugerah adalah air terjun tersembunyi di Sukorambi yang menawarkan keindahan alam, trek alam, dan suasana damai. Pengunjung bisa merasakan alam yang masih asri dan segar.",air terjun anugerah air terjun air terjun jember gendir klungkung kec sukorambi kabupaten jember jawa timur air terjun anugerah air terjun tersembunyi sukorambi menawarkan keindahan alam trek alam suasana damai pengunjung bisa merasakan alam asri segar
37,Gumuk Watu,Rekreasi,Jember,"Dusun Dukuh, Dukuh Dempok, Kec. Wuluhan, Kabupaten Jember, Jawa Timur 68162","Gumuk Watu adalah formasi bukit pasir atau bukit batu di Dukuh Dempok, Wuluhan, Jember. Tempat ini cocok untuk petualangan alam, foto estetik, dan eksplorasi pemandangan gurun kecil di tengah suasana alam tropis.",assets/images/37.png,"Gumuk Watu Rekreasi Rekreasi Jember Dusun Dukuh, Dukuh Dempok, Kec. Wuluhan, Kabupaten Jember, Jawa Timur 68162 Gumuk Watu adalah formasi bukit pasir atau bukit batu di Dukuh Dempok, Wuluhan, Jember. Tempat ini cocok untuk petualangan alam, foto estetik, dan eksplorasi pemandangan gurun kecil di tengah suasana alam tropis.",gumuk watu rekreasi rekreasi jember dusun dukuh dukuh dempok kec wuluhan kabupaten jember jawa timur gumuk watu formasi bukit pasir bukit batu dukuh dempok wuluhan jember tempat cocok petualangan alam foto estetik eksplorasi pemandangan gurun kecil tengah suasana alam tropis
38,Gading Sari,Agrowisata,Jember,"Perumahan Taman Gading, Tumpengsari, Tegal Besar, Kaliwates, Jember Regency, East Java 68131","Gading Sari adalah kawasan agrowisata atau area hijau di Tumpengsari, Jember. Bisa mencakup kebun tanaman, area hijau terbuka, dan spot foto menarik.",assets/images/38.png,"Gading Sari Agrowisata Agrowisata Jember Perumahan Taman Gading, Tumpengsari, Tegal Besar, Kaliwates, Jember Regency, East Java 68131 Gading Sari adalah kawasan agrowisata atau area hijau di Tumpengsari, Jember. Bisa mencakup kebun tanaman, area hijau terbuka, dan spot foto menarik.",gading sari agrowisata agrowisata jember perumahan taman gading tumpengsari tegal besar kaliwates jember regency east java gading sari kawasan agrowisata area hijau tumpengsari jember bisa mencakup kebun tanaman area hijau terbuka spot foto menarik
39,Boma Gunung Pasang,Agrowisata,Jember,"Afdeling Boma Gunung Pasang, Argopuro, Guplek, Suci, Kec. Panti, Kabupaten Jember, Jawa Timur 68153","Boma Gunung Pasang adalah lahan agrowisata di lereng Argopuro, Panti, Jember. Pengunjung dapat menjelajah kebun tanaman, menikmati panorama pegunungan, serta merasakan suasana alam tinggi.",assets/images/39.png,"Boma Gunung Pasang Agrowisata Agrowisata Jember Afdeling Boma Gunung Pasang, Argopuro, Guplek, Suci, Kec. Panti, Kabupaten Jember, Jawa Timur 68153 Boma Gunung Pasang adalah lahan agrowisata di lereng Argopuro, Panti, Jember. Pengunjung dapat menjelajah kebun tanaman, menikmati panorama pegunungan, serta merasakan suasana alam tinggi.",boma gunung pasang agrowisata agrowisata jember afdeling boma gunung pasang argopuro guplek suci kec panti kabupaten jember jawa timur boma gunung pasang lahan agrowisata lereng argopuro panti jember pengunjung menjelajah kebun tanaman menikmati panorama pegunungan merasakan suasana alam tinggi
40,Puncak Badean,Rekreasi,Jember,"Puncak Badean, Unnamed Road, Krajan II, Badean, Kec. Bangsalsari, Kabupaten Jember, Jawa Timur 68154","Puncak Badean adalah puncak perbukitan di Badean, Bangsalsari, Jember, yang menyuguhkan panorama alam dan udara segar. Cocok untuk hiking ringan, menikmati sunrise/sunset, atau aktivitas alam terbuka.",assets/images/40.png,"Puncak Badean Rekreasi Rekreasi Jember Puncak Badean, Unnamed Road, Krajan II, Badean, Kec. Bangsalsari, Kabupaten Jember, Jawa Timur 68154 Puncak Badean adalah puncak perbukitan di Badean, Bangsalsari, Jember, yang menyuguhkan panorama alam dan udara segar. Cocok untuk hiking ringan, menikmati sunrise/sunset, atau aktivitas alam terbuka.",puncak badean rekreasi rekreasi jember puncak badean unnamed road krajan ii badean kec bangsalsari kabupaten jember jawa timur puncak badean puncak perbukitan badean bangsalsari jember menyuguhkan panorama alam udara segar cocok hiking ringan menikmati sunrise sunset aktivitas alam terbuka
41,Citra Mandiri,Rekreasi,Jember,"Jl. Projo Diharjo, Tegalbago, Arjasa, Kec. Arjasa, Kabupaten Jember, Jawa Timur 68191","Citra Mandiri memungkinkan area rekreasi terpadu di Arjasa dengan taman, panorama alam, dan fasilitas pengunjung yang memadai. Bisa menjadi destinasi alternatif di pusat kecamatan.",assets/images/41.png,"Citra Mandiri Rekreasi Rekreasi Jember Jl. Projo Diharjo, Tegalbago, Arjasa, Kec. Arjasa, Kabupaten Jember, Jawa Timur 68191 Citra Mandiri memungkinkan area rekreasi terpadu di Arjasa dengan taman, panorama alam, dan fasilitas pengunjung yang memadai. Bisa menjadi destinasi alternatif di pusat kecamatan.",citra mandiri rekreasi rekreasi jember jl projo diharjo tegalbago arjasa kec arjasa kabupaten jember jawa timur citra mandiri memungkinkan area rekreasi terpadu arjasa taman panorama alam fasilitas pengunjung memadai bisa menjadi destinasi alternatif pusat kecamatan
42,Lariszoo,Rekreasi,Jember,"Jl. Raya Kraton no 4 dsn kraton, kec. kencong, J3mber, Kabupaten Jember, Jawa Timur 68167",Lariszoo adalah kebun binatang lokal di Kencong dengan koleksi hewan ringan dan rekreasi keluarga. Tempat yang nyaman untuk orang tua dan anak menikmati interaksi satwa.,assets/images/42.png,"Lariszoo Rekreasi Rekreasi Jember Jl. Raya Kraton no 4 dsn kraton, kec. kencong, J3mber, Kabupaten Jember, Jawa Timur 68167 Lariszoo adalah kebun binatang lokal di Kencong dengan koleksi hewan ringan dan rekreasi keluarga. Tempat yang nyaman untuk orang tua dan anak menikmati interaksi satwa.",lariszoo rekreasi rekreasi jember jl raya kraton no dsn kraton kec kencong mber kabupaten jember jawa timur lariszoo kebun binatang lokal kencong koleksi hewan ringan rekreasi keluarga tempat nyaman orang tua anak menikmati interaksi satwa
43,Seger Nusantara,Rekreasi,Jember,"Prasian, Jatian, Kec. Pakusari, Kabupaten Jember, Jawa Timur 68181","Seger Nusantara adalah taman rekreasi atau space terbuka di Pakusari, Jember, yang menghadirkan elemen alam, area acara komunitas, taman lanskap, dan spot foto menarik.",assets/images/43.png,"Seger Nusantara Rekreasi Rekreasi Jember Prasian, Jatian, Kec. Pakusari, Kabupaten Jember, Jawa Timur 68181 Seger Nusantara adalah taman rekreasi atau space terbuka di Pakusari, Jember, yang menghadirkan elemen alam, area acara komunitas, taman lanskap, dan spot foto menarik.",seger nusantara rekreasi rekreasi jember prasian jatian kec pakusari kabupaten jember jawa timur seger nusantara taman rekreasi space terbuka pakusari jember menghadirkan elemen alam area acara komunitas taman lanskap spot foto menarik
44,Puncak SJ88,Panorama,Jember,"Gujuran B, Sucopangepok, Kec. Jelbuk, Kabupaten Jember, Jawa Timur 68192",Puncak SJ88 adalah wilayah panorama di Jelbuk yang menawarkan sudut pandang ketinggian serta suasana alam – cocok untuk melihat pemandangan kota dan langit lepas.,assets/images/44.png,"Puncak SJ88 Panorama Panorama Jember Gujuran B, Sucopangepok, Kec. Jelbuk, Kabupaten Jember, Jawa Timur 68192 Puncak SJ88 adalah wilayah panorama di Jelbuk yang menawarkan sudut pandang ketinggian serta suasana alam – cocok untuk melihat pemandangan kota dan langit lepas.",puncak sj panorama panorama jember gujuran sucopangepok kec jelbuk kabupaten jember jawa timur puncak sj wilayah panorama jelbuk menawarkan sudut pandang ketinggian suasana alam cocok melihat pemandangan kota langit lepas
45,Skyland Paralayang,Panorama,Jember,"Area Hutan, Tj. Rejo, Kec. Wuluhan, Kabupaten Jember, Jawa Timur 68162","Skyland Paralayang di Wuluhan menyajikan area paralayang dengan spot peluncuran, pemandangan bukit & laut, dan pengalaman udara bagi pengunjung adventure.",assets/images/45.png,"Skyland Paralayang Panorama Panorama Jember Area Hutan, Tj. Rejo, Kec. Wuluhan, Kabupaten Jember, Jawa Timur 68162 Skyland Paralayang di Wuluhan menyajikan area paralayang dengan spot peluncuran, pemandangan bukit & laut, dan pengalaman udara bagi pengunjung adventure.",skyland paralayang panorama panorama jember area hutan tj rejo kec wuluhan kabupaten jember jawa timur skyland paralayang wuluhan menyajikan area paralayang spot peluncuran pemandangan bukit laut pengalaman udara pengunjung adventure
46,Kampung Wisata Tanoker Ledokombo,Rural Tourism,Jember,"Jl. Kantor Polisi, Simpang Tiga, Pasar, Ledokombo, Kec. Ledokombo, Kabupaten Jember, Jawa Timur 68196","Kampung Wisata Tanoker Ledokombo adalah desa wisata kreatif di Ledokombo dengan kegiatan lokal seperti kerajinan tangan, budaya, kuliner, dan interaksi komunitas lokal.",assets/images/46.png,"Kampung Wisata Tanoker Ledokombo Rural Tourism Rural Tourism Jember Jl. Kantor Polisi, Simpang Tiga, Pasar, Ledokombo, Kec. Ledokombo, Kabupaten Jember, Jawa Timur 68196 Kampung Wisata Tanoker Ledokombo adalah desa wisata kreatif di Ledokombo dengan kegiatan lokal seperti kerajinan tangan, budaya, kuliner, dan interaksi komunitas lokal.",kampung wisata tanoker ledokombo rural tourism rural tourism jember jl kantor polisi simpang tiga pasar ledokombo kec ledokombo kabupaten jember jawa timur kampung wisata tanoker ledokombo desa wisata kreatif ledokombo kegiatan lokal kerajinan tangan budaya kuliner interaksi komunitas lokal
47,Desa Adat Arjasa,Rural Tourism,Jember,"Jl. Rengganis No.1, Bendelan, Arjasa, Kec. Arjasa, Kabupaten Jember, Jawa Timur 68121","Desa Adat Arjasa adalah pusat budaya lokal dengan rumah adat, kesenian tradisional, ritual lokal, dan kehidupan masyarakat yang mencerminkan warisan budaya Arjasa.",assets/images/47.png,"Desa Adat Arjasa Rural Tourism Rural Tourism Jember Jl. Rengganis No.1, Bendelan, Arjasa, Kec. Arjasa, Kabupaten Jember, Jawa Timur 68121 Desa Adat Arjasa adalah pusat budaya lokal dengan rumah adat, kesenian tradisional, ritual lokal, dan kehidupan masyarakat yang mencerminkan warisan budaya Arjasa.",desa adat arjasa rural tourism rural tourism jember jl rengganis no bendelan arjasa kec arjasa kabupaten jember jawa timur desa adat arjasa pusat budaya lokal rumah adat kesenian tradisional ritual lokal kehidupan masyarakat mencerminkan warisan budaya arjasa
48,Desa Budaya Klungkung,Rural Tourism,Jember,"Desa Klungkung, Kecamatan Sukorambi","Desa Budaya Klungkung mengusung tema pelestarian budaya lokal, dengan aktivitas budaya, pertunjukan seni, rumah tradisional, serta program edukasi untuk pengunjung.",assets/images/48.png,"Desa Budaya Klungkung Rural Tourism Rural Tourism Jember Desa Klungkung, Kecamatan Sukorambi Desa Budaya Klungkung mengusung tema pelestarian budaya lokal, dengan aktivitas budaya, pertunjukan seni, rumah tradisional, serta program edukasi untuk pengunjung.",desa budaya klungkung rural tourism rural tourism jember desa klungkung kecamatan sukorambi desa budaya klungkung mengusung tema pelestarian budaya lokal aktivitas budaya pertunjukan seni rumah tradisional program edukasi pengunjung
49,Desa Wisata Kemiri,Rural Tourism,Jember,"Delima, Kemiri, Kec. Panti, Kabupaten Jember, Jawa Timur 68153","Desa Wisata Kemiri adalah desa wisata di Panti yang menawarkan pengalaman kehidupan pedesaan, seni lokal, alam perbukitan, dan aktivitas seperti bertani, kerajinan lokal, atau kuliner desa",assets/images/49.png,"Desa Wisata Kemiri Rural Tourism Rural Tourism Jember Delima, Kemiri, Kec. Panti, Kabupaten Jember, Jawa Timur 68153 Desa Wisata Kemiri adalah desa wisata di Panti yang menawarkan pengalaman kehidupan pedesaan, seni lokal, alam perbukitan, dan aktivitas seperti bertani, kerajinan lokal, atau kuliner desa",desa wisata kemiri rural tourism rural tourism jember delima kemiri kec panti kabupaten jember jawa timur desa wisata kemiri desa wisata panti menawarkan pengalaman kehidupan pedesaan seni lokal alam perbukitan aktivitas bertani kerajinan lokal kuliner desa
50,Desa Wisata Dukuh Dempok,Rural Tourism,Jember,"Desa Dukuh Dempok, Kecamatan Wuluhan","Desa Wisata Dukuh Dempok di Wuluhan menghadirkan suasana pedesaan asri, aktivitas tani, panorama alam, dan interaksi budaya khas masyarakat lokal.",assets/images/50.png,"Desa Wisata Dukuh Dempok Rural Tourism Rural Tourism Jember Desa Dukuh Dempok, Kecamatan Wuluhan Desa Wisata Dukuh Dempok di Wuluhan menghadirkan suasana pedesaan asri, aktivitas tani, panorama alam, dan interaksi budaya khas masyarakat lokal.",desa wisata dukuh dempok rural tourism rural tourism jember desa dukuh dempok kecamatan wuluhan desa wisata dukuh dempok wuluhan menghadirkan suasana pedesaan asri aktivitas tani panorama alam interaksi budaya khas masyarakat lokal
51,Museum Huruf,Edukasi,Jember,"Jl. Bengawan Solo No.27, Tegal Boto Lor, Sumbersari, Kec. Sumbersari, Kabupaten Jember, Jawa Timur 68121","Museum Huruf di Jember adalah tempat edukatif yang menampilkan koleksi alfabet, aksara Nusantara, alat cetak huruf tradisional, dan sejarah tulisan di Indonesia. Cocok untuk pelajar, penggemar bahasa, dan wisata budaya.",assets/images/51.png,"Museum Huruf Edukasi Edukasi Jember Jl. Bengawan Solo No.27, Tegal Boto Lor, Sumbersari, Kec. Sumbersari, Kabupaten Jember, Jawa Timur 68121 Museum Huruf di Jember adalah tempat edukatif yang menampilkan koleksi alfabet, aksara Nusantara, alat cetak huruf tradisional, dan sejarah tulisan di Indonesia. Cocok untuk pelajar, penggemar bahasa, dan wisata budaya.",museum huruf edukasi edukasi jember jl bengawan solo no tegal boto lor sumbersari kec sumbersari kabupaten jember jawa timur museum huruf jember tempat edukatif menampilkan koleksi alfabet aksara nusantara alat cetak huruf tradisional sejarah tulisan indonesia cocok pelajar penggemar bahasa wisata budaya
52,Museum Tembakau,Edukasi,Jember,"Jl. Kalimantan No.1, Krajan Timur, Sumbersari, Kec. Sumbersari, Kabupaten Jember, Jawa Timur 68121","Museum Tembakau memaparkan sejarah tembakau di Jember, proses produksi, jenis varietas, alat pengolahan tembakau, dan perannya dalam ekonomi lokal. Tempat yang menarik bagi yang ingin memahami warisan tembakau Jember.",assets/images/52.png,"Museum Tembakau Edukasi Edukasi Jember Jl. Kalimantan No.1, Krajan Timur, Sumbersari, Kec. Sumbersari, Kabupaten Jember, Jawa Timur 68121 Museum Tembakau memaparkan sejarah tembakau di Jember, proses produksi, jenis varietas, alat pengolahan tembakau, dan perannya dalam ekonomi lokal. Tempat yang menarik bagi yang ingin memahami warisan tembakau Jember.",museum tembakau edukasi edukasi jember jl kalimantan no krajan timur sumbersari kec sumbersari kabupaten jember jawa timur museum tembakau memaparkan sejarah tembakau jember proses produksi jenis varietas alat pengolahan tembakau perannya dalam ekonomi lokal tempat menarik ingin memahami warisan tembakau jember
53,Museum Boemi Poeger,Edukasi,Jember,"Rt. 05 Rw. 06 Dsn Krajan Ds, Ponjen, Kencong, Kec. Kencong, Kabupaten Jember, Jawa Timur 68167","Museum Boemi Poeger adalah museum budaya dan sejarah di Kencong yang mengoleksi artefak, dokumen lokal, pameran sejarah kota Jember, serta warisan budaya masyarakat.",assets/images/53.png,"Museum Boemi Poeger Edukasi Edukasi Jember Rt. 05 Rw. 06 Dsn Krajan Ds, Ponjen, Kencong, Kec. Kencong, Kabupaten Jember, Jawa Timur 68167 Museum Boemi Poeger adalah museum budaya dan sejarah di Kencong yang mengoleksi artefak, dokumen lokal, pameran sejarah kota Jember, serta warisan budaya masyarakat.",museum boemi poeger edukasi edukasi jember rt rw dsn krajan ds ponjen kencong kec kencong kabupaten jember jawa timur museum boemi poeger museum budaya sejarah kencong mengoleksi artefak dokumen lokal pameran sejarah kota jember warisan budaya masyarakat
54,Kampoeng Creative JFC,Edukasi,Jember,"Jl. Bondowoso - Jember Krajan No.46, Krajan, Arjasa, Kec. Arjasa, Kabupaten Jember, Jawa Timur 68191","Kampoeng Creative JFC (Jember Fashion Carnival) adalah ruang kreatif di Arjasa yang sering menjadi pusat aktivitas seni, workshop, panggung kreatif, pameran budaya, dan tempat berkembangnya komunitas seni lokal.",assets/images/54.png,"Kampoeng Creative JFC Edukasi Edukasi Jember Jl. Bondowoso - Jember Krajan No.46, Krajan, Arjasa, Kec. Arjasa, Kabupaten Jember, Jawa Timur 68191 Kampoeng Creative JFC (Jember Fashion Carnival) adalah ruang kreatif di Arjasa yang sering menjadi pusat aktivitas seni, workshop, panggung kreatif, pameran budaya, dan tempat berkembangnya komunitas seni lokal.",kampoeng creative jfc edukasi edukasi jember jl bondowoso jember krajan no krajan arjasa kec arjasa kabupaten jember jawa timur kampoeng creative jfc jember fashion carnival ruang kreatif arjasa sering menjadi pusat aktivitas seni workshop panggung kreatif pameran budaya tempat berkembangnya komunitas seni lokal
55,Museum Juang Sroedji Sudut Kalisat,Edukasi,Jember,"Desa Kalisat,Kecamatan Kalisat","Museum Juang Sroedji di Kalisat adalah museum perjuangan yang memuat cerita lokal, memorabilia perjuangan kemerdekaan, foto, artefak, dan narasi tokoh pergerakan di Jember.",assets/images/55.png,"Museum Juang Sroedji Sudut Kalisat Edukasi Edukasi Jember Desa Kalisat,Kecamatan Kalisat Museum Juang Sroedji di Kalisat adalah museum perjuangan yang memuat cerita lokal, memorabilia perjuangan kemerdekaan, foto, artefak, dan narasi tokoh pergerakan di Jember.",museum juang sroedji sudut kalisat edukasi edukasi jember desa kalisat kecamatan kalisat museum juang sroedji kalisat museum perjuangan memuat cerita lokal memorabilia perjuangan kemerdekaan foto artefak narasi tokoh pergerakan jember
